/ Dataset:E:\data\storage\3\5\1\4\0003\Densities and Magnetic Susceptibilities - CSV - Point Data - 08JUL2014.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,SAMPLE,SOURCE,DEPTH,ELEVATION,ROCKTYPE,COMMENTS,DENSITY,SMSNO,MAGSUS,LATITUDE,LONGITUDE,SDMAGSUS
-91.9279619601,49.1422045765,D001-0194,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.1,-91.9,*,
-92.5718179446,49.1661895195,D001-0598,1-EPB,0.0,0.0,ANDESITE,AR.MAF.VOLC.,2.8,,*,49.2,-92.6,*,
-91.5589286626,48.7674166662,D001-0195,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.8,-91.6,*,
-91.6254310421,48.7177498847,D001-0195,1-EPB,0.0,1.0,DIORITE,,2.7,,*,48.7,-91.6,*,
-92.1927847651,48.864415808,D001-0253,1-EPB,0.0,1.0,AMPHIBOLITE,,3.0,,*,48.9,-92.2,*,
-91.5852628258,48.8467502222,D001-0254,1-EPB,0.0,1.0,BASALT,,2.8,,*,48.8,-91.6,*,
-91.7771028198,48.8085831073,D001-0195,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.8,-91.8,*,
-91.6680990374,48.8055832336,D001-0195,1-EPB,0.0,1.0,"GREEN SCHIST",,2.8,,*,48.8,-91.7,*,
-91.2844345962,48.9561549982,D001-0256,1-EPB,0.0,1.0,GNEISS,,2.8,,*,49.0,-91.3,*,
-91.4364256353,48.8970891119,D001-0256,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.9,-91.4,*,
-91.4520956838,49.012607514,D001-0256,1-EPB,0.0,1.0,"MAFIC GNEISS",,2.6,,*,49.0,-91.5,*,
-90.819101635,49.0995554245,D001-0256,1-EPB,0.0,1.0,RHYOLITE,,2.6,,*,49.1,-90.8,*,
-90.9801074688,49.1132218478,D001-0197,1-EPB,0.0,1.0,"GREEN SCHIST",,2.7,,*,49.1,-91.0,*,
-91.3119505506,49.19142589,D001-0196,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.2,-91.3,*,
-91.158613154,49.1413834152,D001-0197,1-EPB,0.0,1.0,"MAFIC GNEISS",,3.1,,*,49.1,-91.2,*,
-90.3500842792,48.747892708,D001-0256,1-EPB,0.0,1.0,GRANODIORITE,,2.6,,*,48.7,-90.4,*,
-90.9045992889,48.7277139812,D001-0257,1-EPB,0.0,1.0,AMPHIBOLITE,,2.6,,*,48.7,-90.9,*,
-91.2585851773,48.7164167442,D001-0257,1-EPB,0.0,1.0,GRANODIORITE,,2.6,,*,48.7,-91.3,*,
-91.2557553921,48.8324347438,D001-0256,1-EPB,0.0,1.0,GRANODIORITE,,2.7,,*,48.8,-91.3,*,
-91.0819272126,48.7821450188,D001-0256,1-EPB,0.0,1.0,PHYLLITE,,2.7,,*,48.8,-91.1,*,
-91.4110901875,48.7950833655,D001-0257,1-EPB,0.0,1.0,"MAFIC GNEISS",,2.7,,*,48.8,-91.4,*,
-91.6176267158,49.3033764842,D001-0255,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.3,-91.6,*,
-91.9861375525,49.7128664837,D001-0194,1-EPB,0.0,1.0,GRANITE,,2.5,,*,49.7,-92.0,*,
-91.9861375525,49.7128664837,D001-0194,1-EPB,0.0,1.0,GRANITE,,2.5,,*,49.7,-92.0,*,
-91.8484661592,49.7855270562,D001-0194,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.8,-91.8,*,
-91.8142993346,49.5358746035,D001-0256,1-EPB,0.0,1.0,GRANODIORITE,,2.6,,*,49.5,-91.8,*,
-91.9449702308,49.3690399407,D001-0194,1-EPB,0.0,1.0,GNEISS,,2.7,,*,49.4,-91.9,*,
-91.774131987,49.3178759769,D001-0196,1-EPB,0.0,1.0,GNEISS,,2.7,,*,49.3,-91.8,*,
-92.129476642,49.3723734832,D001-0253,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.4,-92.1,*,
-90.9907740621,49.2915533785,D001-0197,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.3,-91.0,*,
-91.2739456245,49.7288747387,D001-0255,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.7,-91.3,*,
-90.9414358195,49.7143795347,D001-0255,1-EPB,0.0,1.0,"MAFIC GNEISS",,2.8,,*,49.7,-90.9,*,
-90.5589243527,49.4875536229,D001-0196,1-EPB,0.0,1.0,GRANITE,,2.7,,*,49.5,-90.6,*,
-91.071108987,49.4872147242,D001-0196,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.5,-91.1,*,
-91.2469474566,49.5117112574,D001-0255,1-EPB,0.0,1.0,GRANODIORITE,,2.6,,*,49.5,-91.2,*,
-91.4584539455,49.5965432589,D001-0255,1-EPB,0.0,1.0,GRANODIORITE,,2.7,,*,49.6,-91.5,*,
-90.2197448131,49.3538887101,D001-0196,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.4,-90.2,*,
-89.3580496694,49.082555528,D001-0262,1-EPB,0.0,1.0,SYENITE,,2.6,,*,49.1,-89.4,*,
-89.0293779591,48.9790558068,D001-0201,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.0,-89.0,*,
-89.2082164342,48.974055542,D001-0201,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.0,-89.2,*,
-89.2082164342,48.974055542,D001-0201,1-EPB,0.0,1.0,GREYWACKE,,2.6,,*,49.0,-89.2,*,
-88.9133754631,48.8740520561,D001-0201,1-EPB,0.0,1.0,BASALT,,3.0,,*,48.9,-88.9,*,
-89.4122220053,48.8952217078,D001-0200,1-EPB,0.0,1.0,"MAFIC GNEISS",,2.9,,*,48.9,-89.4,*,
