company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,information,source1,source2,source3,link1,link2,link3,Commodity
Reeves MacDonald Mines Ltd.,,,,,,,Remac ,British Columbia,49.024443,-117.35222,1949,1971,,,,,,1,0,0,,,,Gallium
Reeves MacDonald Mines Ltd.,,,,,,,Remac ,British Columbia,49.024443,-117.35222,1949,1971,,,,,,1,0,0,,,,Copper
Reeves MacDonald Mines Ltd.,,,,,,,Remac ,British Columbia,49.024443,-117.35222,1949,1971,,,,,,1,0,0,,,,Silver
Reeves MacDonald Mines Ltd.,,,,,,,Remac ,British Columbia,49.024443,-117.35222,1949,1971,,,,,,1,0,0,,,,Cadmium
Reeves MacDonald Mines Ltd.,,,,,,,Remac ,British Columbia,49.024443,-117.35222,1949,1971,,,,,,1,0,0,,,,Germanium
Reeves MacDonald Mines Ltd.,,,,,,,Remac ,British Columbia,49.024443,-117.35222,1949,1971,,,,,,1,0,0,,,,Zinc
Goldcorp Inc.,Newmont Goldcorp,Evolution Mining,,,,Red Lake,Balmertown,Ontario,51.06028,-93.73128,1949,open,,,,,The Red Lake mine is one of the largest gold mines in Canada and in the world,1,0,0,,,,Gold
TVX Gold Inc.,High River Gold Mines Ltd. ,Britannia Mining and Smelting Co. Ltd.,Howe Sound Exploration Co. Ltd. ,HudBay Minerals Inc.,,New Britannia ( Nor-Acme),Snow Lake,Manitoba,54.858333333333334,-100.0333333,1949,2000,2021,open,,,,1,0,0,,,,Gold
Westroc Industries Ltd. ,BPB Canada Inc.,CertainTeed Gypsum Canada,,,,Kootenay River or Elkhorn,Invermere (Windermere Creek),British Columbia,49.454444,-115.42972,1950,open,,,,,,1,0,0,https://minfile.gov.bc.ca/Summary.aspx?minfilno=082JSW021,,,Limestone
Giant Soo Mines Ltd.,,,,,,Estella,,British Columbia,49.769443,-115.60527,1951,1967,,,,,,1,0,0,,,,Lead
Giant Soo Mines Ltd.,,,,,,Estella,,British Columbia,49.769443,-115.60527,1951,1967,,,,,,1,0,0,,,,Copper
Giant Soo Mines Ltd.,,,,,,Estella,,British Columbia,49.769443,-115.60527,1951,1967,,,,,,1,0,0,,,,Gold
Giant Soo Mines Ltd.,,,,,,Estella,,British Columbia,49.769443,-115.60527,1951,1967,,,,,,1,0,0,,,,Silver
Giant Soo Mines Ltd.,,,,,,Estella,,British Columbia,49.769443,-115.60527,1951,1967,,,,,,1,0,0,,,,Cadmium
Giant Soo Mines Ltd.,,,,,,Estella,,British Columbia,49.769443,-115.60527,1951,1967,,,,,,1,0,0,,,,Zinc
Domtar Construction Materials Ltd.,Domtar Inc.,"Georgia-Pacific Canada, Inc.",,,,Gypsum Division (No.3),Caledonia ,Ontario,43.09114,-79.96713,1952,1991,,,,,,1,0,0,,,,Gypsum
Texada Mines Ltd.,,,,,,,Texada Island ,British Columbia,49.703055,-124.55055,1952,1956,,,,,,1,0,0,,,,Magnetite
Texada Mines Ltd.,,,,,,,Texada Island ,British Columbia,49.703055,-124.55055,1952,1956,,,,,,1,0,0,,,,Cobalt
Texada Mines Ltd.,,,,,,,Texada Island ,British Columbia,49.703055,-124.55055,1952,1956,,,,,,1,0,0,,,,Gold
Texada Mines Ltd.,,,,,,,Texada Island ,British Columbia,49.703055,-124.55055,1952,1956,,,,,,1,0,0,,,,Copper
Texada Mines Ltd.,,,,,,,Texada Island ,British Columbia,49.703055,-124.55055,1952,1956,,,,,,1,0,0,,,,Silver
Texada Mines Ltd.,,,,,,,Texada Island ,British Columbia,49.703055,-124.55055,1952,1956,,,,,,1,0,0,,,,Molybdenum
Texada Mines Ltd.,,,,,,,Texada Island ,British Columbia,49.703055,-124.55055,1952,1956,,,,,,1,0,0,,,,Iron
Texada Mines Ltd.,,,,,,,Texada Island ,British Columbia,49.703055,-124.55055,1952,1956,,,,,,1,0,0,,,,Zinc
Princeton Mining Corporation,,,,,,,Cassiar,British Columbia,59.324999,-129.81805,1952,1998,,,,,,1,0,0,,,,Chrysotile
Princeton Mining Corporation,,,,,,,Cassiar,British Columbia,59.324999,-129.81805,1952,1998,,,,,,1,0,0,,,,Gemstones
Princeton Mining Corporation,,,,,,,Cassiar,British Columbia,59.324999,-129.81805,1952,1998,,,,,,1,0,0,,,,Magnesium
Princeton Mining Corporation,,,,,,,Cassiar,British Columbia,59.324999,-129.81805,1952,1998,,,,,,1,0,0,,,,Asbestos
Princeton Mining Corporation,,,,,,,Cassiar,British Columbia,59.324999,-129.81805,1952,1998,,,,,,1,0,0,,,,Nephrite
Princeton Mining Corporation,,,,,,,Cassiar,British Columbia,59.324999,-129.81805,1952,1998,,,,,,1,0,0,,,,Jade
Radiore Uranium Mines Ltd.,,,,,,,,Saskatchewan,59.46944214,-108.6097487,1952,1959,,,,,,1,0,0,,,,Uranium
East Rim Nickel Mines Ltd. ,Nickel Rim Mines Ltd. ,,,,,,,Ontario,46.67426,-80.80414,1953,1958,,,,,Rim Nickel and East Rim Nickel Mines are the same.,1,0,0,,,,Nickel
Steep Rock Iron Mines Ltd,,,,,,,Steep Rock Lake ,Ontario,48.7932,-91.64844,1953,1980,,,,,,1,0,0,,,,Iron
Eldorado Mining and Refining Ltd. ,Cameco - A Canadian Mining & Energy Corp.,,,,,Rabbit Lake-Eagle Point,Uranium City ,Saskatchewan,59.562501,-108.4666611,1953,1982,,,,,,1,0,0,,,,Uranium
Northspan Uranium Mines Ltd. ,,,,,,Lacnor,,Ontario,46.395075,-82.607917,1954,1960,,,,,,1,0,0,,,,Uranium
Jardun Mines Ltd.,,,,,,,,Ontario,46.63751,-84.14293,1954,1957,,,,,,1,0,0,,,,Lead
Cayzor Athabaska Mines Ltd.,,,,,,,,Saskatchewan,59.581944,-108.6402774,1954,1960,,,,,,1,0,0,,,,Uranium
Canadian Rock Salt Co. Ltd. The,,,,,,,Ojibway ,Ontario,42.25575,-83.10301,1955,open,,,,,"The first is the Ojibway Mine at 200 Morton Drive in Windsor, established in 1955, and is owned by The Canadian Salt Company, Limited. The facility has 250 employees, earns roughly $75–99 million a year, producing road and mining salt",1,0,0,,,,Salt
Marmoraton Mining Co. Ltd. ,Bethlehem Chile Iron Iron Mine Co.,,,,,,Marmora ,Ontario,44.47905,-77.65775,1955,1978,,,,,,1,0,0,,,,Iron
Minnesota Minerals Ltd.,Building Products Ltd. ,,,,,,,Ontario,44.50305,-77.42273,1955,1968,,,,,,1,0,0,,,,Granite
McMann V. C. Ltd. ,A.W. Wasson Ltd.,,,,,,,New Brunswick,46.07595292,-66.0748075,1955,1965,,,,,Minor occurrence (limited to no exploration work),1,0,0,,,,Coal
D.W. and R.A. Mills Ltd.,,,,,,,Minto ,New Brunswick,46.07595292,-66.0748075,1955,1969,,,,,Minor occurrence (limited to no exploration work),1,0,0,,,,Coal
Anglo-Rouyn Mines Ltd.,,,,,,,Waden Bay ,Saskatchewan,55.293889,-105.0041731,1955,1992,,,,,,1,0,0,,,,Silver
Anglo-Rouyn Mines Ltd.,,,,,,,Waden Bay ,Saskatchewan,55.293889,-105.0041731,1955,1992,,,,,,1,0,0,,,,Gold
Anglo-Rouyn Mines Ltd.,,,,,,,Waden Bay ,Saskatchewan,55.293889,-105.0041731,1955,1992,,,,,,1,0,0,,,,Copper
Gunnar Mines Ltd. ,,,,,,,,Saskatchewan,59.385834,-108.8794467,1955,1964,,,,,,1,0,0,,,,Uranium
Cenex Limited,,,,,,,Uranium City ,Saskatchewan,59.543056,-108.6680637,1955,1979,,,,,,1,0,0,,,,Uranium
Empire Development Co. Ltd. ,Empire Venture Ltd.,,,,,,,British Columbia,50.355277,-127.25361,1957,1967,,,,,,1,0,0,,,,Magnetite
Empire Development Co. Ltd. ,Empire Venture Ltd.,,,,,,,British Columbia,50.355277,-127.25361,1957,1967,,,,,,1,0,0,,,,Cobalt
Empire Development Co. Ltd. ,Empire Venture Ltd.,,,,,,,British Columbia,50.355277,-127.25361,1957,1967,,,,,,1,0,0,,,,Gold
Empire Development Co. Ltd. ,Empire Venture Ltd.,,,,,,,British Columbia,50.355277,-127.25361,1957,1967,,,,,,1,0,0,,,,Copper
Empire Development Co. Ltd. ,Empire Venture Ltd.,,,,,,,British Columbia,50.355277,-127.25361,1957,1967,,,,,,1,0,0,,,,Limestone
Empire Development Co. Ltd. ,Empire Venture Ltd.,,,,,,,British Columbia,50.355277,-127.25361,1957,1967,,,,,,1,0,0,,,,Iron
Empire Development Co. Ltd. ,Empire Venture Ltd.,,,,,,,British Columbia,50.355277,-127.25361,1957,1967,,,,,,1,0,0,,,,Arsenic
Empire Development Co. Ltd. ,Empire Venture Ltd.,,,,,,,British Columbia,50.355277,-127.25361,1957,1967,,,,,,1,0,0,,,,Zinc
Lorado Uranium Mines Ltd.,,,,,,,,Saskatchewan,59.492226,-108.6683393,1957,1960,,,,,,1,0,0,,,,Uranium
North Rankin Nickel Mines Ltd. ,,,,,,North Rankin,Rankin Inlet,Nunavut,62.80972222222222,-92.09944444,1957,1962,,,,,"9,760 t nickel and 2,634 t copper, mine site reclaimed (small producer).",1,0,0,,,,Nickel
North Rankin Nickel Mines Ltd. ,,,,,,North Rankin,Rankin Inlet,Nunavut,62.80972222222222,-92.09944444,1957,1962,,,,,"9,760 t nickel and 2,634 t copper, mine site reclaimed (small producer).",1,0,0,,,,Copper
Rayrock Mines Ltd.,,,,,,,,Northwest Territories,63.45,-116.5458333,1957,1959,,,,,"""In 1957, the operation employed 145 and in 1958, with steady operations, it was reported that 135 employees were working at Rayrock Mine. In March 1959, the last date for which information is available, the mine employed a total of 136, including 10 natives who worked manual labour jobs. By department, this workforce was reduced to: mining, 54; shops, 17; general surface, 13; contractors, 19; mill, 19; laboratory, 8; cookery, 12; and office, 13 (mine records). Most of these employees were single men housed in four bunkhouses with total capacity for 140 persons, and a staffhouse for 14 persons. The cookery was rated to handle 125 men at one sitting, and the company townsite contained almost twenty residences including four duplex houses. In 1957, it was reported that the Rayrock townsite contained nine residences including three duplex units, accommodating 12 families. There were also eight school pupils in that year, housed in a small school house on the property. Recreation was provided by an indoor curling rink and recreation room with café, games, and library, built in 1958. Additional family housing was erected in 1958. The Operational History of Mines in the Northwest Territories, Canada Ryan Silke, 2009 Population of the townsite and mine camp in 1958 was reported as 17 families and 135 employees (Byrne, 1957; Rayrock Mines Ltd. Annual Report, 1958)."" (source3, p.417-418)",1,0,0,https://www.miningnorth.com/_rsc/site-content/library/NWT_Mines_History_RSilke2009.pdf,,,Silver
Rayrock Mines Ltd.,,,,,,,,Northwest Territories,63.45,-116.5458333,1957,1959,,,,,"""In 1957, the operation employed 145 and in 1958, with steady operations, it was reported that 135 employees were working at Rayrock Mine. In March 1959, the last date for which information is available, the mine employed a total of 136, including 10 natives who worked manual labour jobs. By department, this workforce was reduced to: mining, 54; shops, 17; general surface, 13; contractors, 19; mill, 19; laboratory, 8; cookery, 12; and office, 13 (mine records). Most of these employees were single men housed in four bunkhouses with total capacity for 140 persons, and a staffhouse for 14 persons. The cookery was rated to handle 125 men at one sitting, and the company townsite contained almost twenty residences including four duplex houses. In 1957, it was reported that the Rayrock townsite contained nine residences including three duplex units, accommodating 12 families. There were also eight school pupils in that year, housed in a small school house on the property. Recreation was provided by an indoor curling rink and recreation room with café, games, and library, built in 1958. Additional family housing was erected in 1958. The Operational History of Mines in the Northwest Territories, Canada Ryan Silke, 2009 Population of the townsite and mine camp in 1958 was reported as 17 families and 135 employees (Byrne, 1957; Rayrock Mines Ltd. Annual Report, 1958)."" (source3, p.417-418)",1,0,0,https://www.miningnorth.com/_rsc/site-content/library/NWT_Mines_History_RSilke2009.pdf,,,Uranium
Miliken Lake Uranium Mines Ltd.,,,,,,Milliken,Elliot Lake ,Ontario,46.40026,-82.62527,1958,1964,,,,,,1,0,0,,,,Uranium
Canadian Charleson Ltd. ,,,,,,,,Ontario,48.774029,-91.630097,1958,1964,,,,,,1,0,0,,,,Iron
Potash Co. Of America Ltd.,Potash Company of America Inc. (a Division of Rio Algom Limited),,,,,Patience Lake,Saskatoon ,Saskatchewan,52.089315,-106.3741196,1958,open,,,,,,1,0,0,,,,Potash
Rix-Ahabasca Uranium Mines Ltd.,,,,,,,,Saskatchewan,59.54027286,-108.7222283,1958,1959,,,,,,1,0,0,,,,Uranium
Nimpkish Iron Mines Ltd.,,,,,,,,British Columbia,50.255277,-126.85361,1959,1963,,,,,,1,0,0,,,,Magnetite
Nimpkish Iron Mines Ltd.,,,,,,,,British Columbia,50.255277,-126.85361,1959,1963,,,,,,1,0,0,,,,Gold
Nimpkish Iron Mines Ltd.,,,,,,,,British Columbia,50.255277,-126.85361,1959,1963,,,,,,1,0,0,,,,Copper
Nimpkish Iron Mines Ltd.,,,,,,,,British Columbia,50.255277,-126.85361,1959,1963,,,,,,1,0,0,,,,Iron
Nimpkish Iron Mines Ltd.,,,,,,,,British Columbia,50.255277,-126.85361,1959,1963,,,,,,1,0,0,,,,Zinc
National Asbestos Mines Ltd,"Lake Asbestos of Quebec, Ltd., (National Mines Div.)",,,,,,Thetford Mines ,Quebec,46.138215,-71.252179,1960,1986,,,,,,1,0,0,,,,Chrysotile
