X,Y,OBJECTID,SMDI,NAME,HISTORICNAMES,PRIMARYCOMMODITIES,ASSOCIATEDCOMMODITIES,GROUPING,DISCOVERYTYPE,STATUS,PRODUCTION,RESERVESRESOURCES,UTM13E,UTM13N,WEBLINK,SYMBOLOGY_STATUS,SYMBOLOGY_GROUPING,GLOBALID
448068.93,6322380.32,2166,2024,"Radioactive Occurrence 3, Radioactive Occurrence 4 or the ""S"" Zone, Karpinka Lake West Radioactive Boulder Train","Radioactive Occurrence 3, Radioactive Occurrence 4 or the ""S"" Zone, Karpinka Lake West Radioactive Boulder Train",Uranium,"Cobalt, Copper, Iron, Lead, Nickel",Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,448068.93,6322380.32,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2024,Occurrence: Primary Exploration,Uranium,{78AFFD32-7F31-41E8-AFEC-084006064480}
446436.99,6323947.3,2167,2025,"Radioactive Occurrence 5, Radioactive Occurrence 6, Radioactive Occurrence 7 or the ""T"" Zone","Radioactive Occurrence 5, Radioactive Occurrence 6, Radioactive Occurrence 7 or the ""T"" Zone",Uranium,,Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,446436.99,6323947.3,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2025,Occurrence: Primary Exploration,Uranium,{95316FEF-7657-4518-A1CF-A8E878C76308}
442671.13,6325791.27,2168,2026,Graham Lake Radioactive Pegmatite,Graham Lake Radioactive Pegmatite,Uranium,,Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,442671.13,6325791.27,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2026,Occurrence: Primary Exploration,Uranium,{BD206B29-04B1-4261-BD1A-DC7BDE72B4BA}
450763.83,6327821.24,2169,2027,"Drill holes CS-77-25 and -26, CS-78-01 and -05, CS-79-03 and -06","Drill holes CS-77-25 and -26, CS-78-01 and -05, CS-79-03 and -06",Uranium,"Copper, Lead, Nickel",Uranium,Drillhole,Prospect: Primary Exploration,No,No,450763.83,6327821.24,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2027,Prospect: Primary Exploration,Uranium,{12683113-3C3A-4408-9AAE-EA9ACB0EE017}
461108.45,6335905.12,2170,2028,Black Forest Radioactive Erratics or Niska U-Ni Boulder Occurrence,Black Forest Radioactive Erratics or Niska U-Ni Boulder Occurrence,Uranium,"Iron, Nickel, Titanium, Zirconium",Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,461108.45,6335905.12,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2028,Anomaly,Uranium,{BB15A4A3-8663-4A17-BF7B-414D5F8DDD2E}
460947.45,6334794.14,2171,2029,Eatneiminew Lake Pitchblende Pebble Showing,Eatneiminew Lake Pitchblende Pebble Showing,Uranium,"Copper, Nickel",Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,460947.45,6334794.14,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2029,Anomaly,Uranium,{11250D5C-4213-4ED7-8985-9578E2CEC5FD}
440656.21,6353003.86,2172,2030,Maw Uranium Zone - N Zone,Maw Uranium Zone - N Zone,Uranium,"Arsenic, Gold, Nickel",Uranium,Drillhole,Occurrence: Primary Exploration,No,No,440656.21,6353003.86,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2030,Occurrence: Primary Exploration,Uranium,{AADCA57E-4202-40ED-9442-BF3148641A4B}
451257.82,6351008.89,2173,2031,"Union Carbide Drill holes 79-17, 79-40, 79-45, and 79-59 or the Shift Lake Uranium Zone","Union Carbide Drill holes 79-17, 79-40, 79-45, and 79-59 or the Shift Lake Uranium Zone",Uranium,"Graphite, Iron",Uranium,Drillhole,Prospect: Primary Exploration,No,No,451257.82,6351008.89,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2031,Prospect: Primary Exploration,Uranium,{CC1FAD36-77F4-4A39-9F09-05ACCEA68608}
500434.98,6350533.9,2174,2032,Toews Lake (south of) Uraniferous Boulders,Toews Lake (south of) Uraniferous Boulders,Uranium,,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,500434.98,6350533.9,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2032,Anomaly,Uranium,{2FB1B9F2-1497-4DC5-9969-E43A9CE71ED8}
524967.07,6368328.63,2175,2033,Bridge Lake (east of) Uraniferous Boulders or Bill Lake Boulder Train,Bridge Lake (east of) Uraniferous Boulders or Bill Lake Boulder Train,Uranium,,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,524967.07,6368328.63,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2033,Anomaly,Uranium,{731711F9-EC9F-4635-BD32-DDB0F9C97B4D}
519777.26,6366104.66,2176,2034,Art Lake Uranium Showing,Art Lake Uranium Showing,Uranium,,Uranium,Outcrop grab,Mineral Location,No,No,519777.26,6366104.66,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2034,Mineral Location,Uranium,{3C0F3683-910D-4B6C-9788-0CED9BF58FB1}
519717.26,6368300.63,2177,2035,Camp Lake Radioactive Muskeg,Camp Lake Radioactive Muskeg,Uranium,"Nickel, Thorium",Uranium,Biogeochemical,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,519717.26,6368300.63,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2035,Anomaly,Uranium,{6F20A285-9450-4749-87C9-19F469E79EC4}
536133.65,6349486.92,2178,2036,Thompson Lake Radioactive Boulders,Thompson Lake Radioactive Boulders,Uranium,,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,536133.65,6349486.92,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2036,Anomaly,Uranium,{439C83E0-38F0-4293-9651-C12E412DC0CE}
539937.51,6352707.87,2179,2037,Johnson River Area Radioactive Boulders,Johnson River Area Radioactive Boulders,Uranium,Molybdenum,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,539937.51,6352707.87,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2037,Anomaly,Uranium,{AA41DBE1-F393-4C49-95DA-A825B42F3660}
555723.92,6360808.74,2180,2038,Area 11 (Outcrop AB-11-4) Uraniferous Quartzite,Area 11 (Outcrop AB-11-4) Uraniferous Quartzite,Uranium,Molybdenum,Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,555723.92,6360808.74,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2038,Occurrence: Primary Exploration,Uranium,{02601A2F-0A77-4793-98FB-DD28D76DDA88}
551266.08,6371265.58,2181,2039,Radioactive Boulders 9-RG-155 and 9-RG-161,Radioactive Boulders 9-RG-155 and 9-RG-161,Uranium,Molybdenum,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,551266.08,6371265.58,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2039,Anomaly,Uranium,{4BB36277-8C28-46F3-8965-53B6FF1447F4}
543066.39,6363841.69,2182,2040,Geikie River U-Mo Occurrence,Geikie River U-Mo Occurrence,Uranium,Molybdenum,Uranium,Outcrop grab,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,543066.39,6363841.69,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2040,Anomaly,Uranium,{42B6054E-87A1-4F55-9876-47F67B1C34A3}
548168.2,6368413.62,2183,2041,Radioactive Boulder 9-RT-266,Radioactive Boulder 9-RT-266,Thorium,"Molybdenum, Uranium",Energy Material (Other),Float Rock,Anomaly,No,No,548168.2,6368413.62,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2041,Anomaly,Other,{A9C7D8A6-34FD-48F9-A6DA-F90834644836}
